FISH_KEY,DATE_CATCH,Sesn,Year,LOCATION_ID,ACCESS_CODE,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,Age,MAT_CODE
468LA_1063_F081_F,26-Oct-05,Fa,2005,468,F081,548,414,370,2,,2
468LA_1064_F081_F,26-Oct-05,Fa,2005,468,F081,831,471,428,2,,2
468LA_1065_F081_F,26-Oct-05,Fa,2005,468,F081,240,315,285,1,,1
468LA_1066_F081_F,26-Oct-05,Fa,2005,468,F081,748,475,427,2,,2
468LA_1067_F081_F,26-Oct-05,Fa,2005,468,F081,870,479,430,1,,2
468LA_1068_F081_F,26-Oct-05,Fa,2005,468,F081,674,463,413,2,,2
468LA_1069_F081_F,26-Oct-05,Fa,2005,468,F081,427,378,345,1,,1
468LA_107_F081_F,03-Oct-81,Fa,1981,468,F081,595,423,384,1,9,2
468LA_1070_F081_F,26-Oct-05,Fa,2005,468,F081,200,297,265,1,,1
468LA_1071_F081_F,26-Oct-05,Fa,2005,468,F081,684,455,408,2,,2
468LA_1072_F081_F,26-Oct-05,Fa,2005,468,F081,278,327,295,1,,1
468LA_1073_F081_F,26-Oct-05,Fa,2005,468,F081,392,369,334,2,,2
468LA_1074_F081_F,26-Oct-05,Fa,2005,468,F081,815,454,410,2,,2
468LA_1075_F081_F,26-Oct-05,Fa,2005,468,F081,460,393,350,1,,1
468LA_1076_F081_F,26-Oct-05,Fa,2005,468,F081,736,451,403,2,,2
468LA_1077_F081_F,26-Oct-05,Fa,2005,468,F081,546,412,372,2,,2
468LA_1078_F081_F,26-Oct-05,Fa,2005,468,F081,429,377,340,2,,2
468LA_1079_F081_F,26-Oct-05,Fa,2005,468,F081,160,273,247,1,,1
468LA_108_F081_F,03-Oct-81,Fa,1981,468,F081,1210,527,478,1,14,2
468LA_1080_F081_F,26-Oct-05,Fa,2005,468,F081,600,435,390,1,,2
468LA_1081_F081_F,26-Oct-05,Fa,2005,468,F081,1011,528,479,1,,1
468LA_1082_F081_F,26-Oct-05,Fa,2005,468,F081,857,471,431,1,,2
468LA_1083_F081_F,26-Oct-05,Fa,2005,468,F081,560,418,373,2,,2
468LA_1084_F081_F,26-Oct-05,Fa,2005,468,F081,473,387,344,1,,1
468LA_1085_F081_F,26-Oct-05,Fa,2005,468,F081,393,380,340,1,,1
468LA_1086_F081_F,26-Oct-05,Fa,2005,468,F081,813,463,417,2,,2
468LA_1087_F081_F,26-Oct-05,Fa,2005,468,F081,2061,633,573,2,,2
468LA_1088_F081_F,26-Oct-05,Fa,2005,468,F081,2986,696,631,2,,2
468LA_1089_F081_F,26-Oct-05,Fa,2005,468,F081,153,277,250,2,,1
468LA_109_F081_F,03-Oct-81,Fa,1981,468,F081,590,434,388,1,8,2
468LA_1090_F081_F,26-Oct-05,Fa,2005,468,F081,316,312,307,1,,1
468LA_1091_F081_F,18-Oct-06,Fa,2006,468,F081,945,485,434,2,,2
468LA_1092_F081_F,18-Oct-06,Fa,2006,468,F081,651,440,389,2,,2
